#separator:tab
#html:true
#tags column:47
bem-disposto, bem-disposta	bem-disposto, bem-disposta	bem-disposto, bem-disposta	"<img src=""_bem-disposta_acordar.JPG"">"	/bɐ̃j-dɨʃ.ˈpoʃ.tu/ ,  /bɐ̃j-dɨʃ.ˈpoʃ.tɐ/	/ bẽdʒisˈpɔstu | bẽdʒisˈpɔstɐ /	adj m, adj f	<div>1.&nbsp;Que&nbsp;tem&nbsp;boa&nbsp;disposição&nbsp;ou&nbsp;bom&nbsp;humor.</div><div>2.&nbsp;Que&nbsp;está&nbsp;bem&nbsp;de&nbsp;saúde.</div>	good-spirited	/ˈɡʊdˈspɪrətəd/	/ˈɡʊdˈspɪrɪtɪd/				con ánimos (salud), alegre							de bonne humeur					fröhlich					bendispost					ben disposto										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Carácter Português::Vocabulario::Corpo_Saude Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
tem constipado	tem constipado	tem constipado	"<img src=""_resfriados.JPG"">"	/ˈtɐ̃j̃ kõʃtiˈpadu/	/ˈtẽj̃ kõstʃiˈpadu/	exp		has a cold						tiene resfriado						a un rhume					hat eine Erkältung					té un refredat					ha il raffreddore											Português::Curso::A1 Português::Vocabulario::Corpo_Saude
precisas lenços	precisas lenços	precisas lenços	"<img src=""_precisar_lenços_tissues.JPG"">"	/pɾɨˈsizɐʒ ˈlẽsuʃ/	/pɾeˈsizas ˈlẽsus/	exp		you need tissues						necesitas pañuelos						tu as besoin de mouchoirs					du brauchst Taschentücher					necessites mocadors					hai bisogno di fazzoletti											Português::Curso::A1 Português::Vocabulario::Corpo_Saude Português::Vocabulario::Corpo_Saude::Tratamento
entorse no tornozelo	entorse no tornozelo	a entorse no tornozelo	"<img src=""_torcedura_esguince_tornozelo_tobillo.JPG"">"	/ɐ ẽˈtɔɾsɨ nu tuɾnuˈzɛlu/	/a ẽˈtɔʁsi nu toʁnoˈzɛlu/	sf		ankle sprain						esguince en el tobillo						entorse de la cheville					Knöchelverstauchung					esquinç de turmell					distorsione alla caviglia											Português::Curso::A1 Português::Vocabulario::Corpo_Saude Português::Vocabulario::Corpo_Saude::Feridas
torceu um pé	torceu um pé	torceu um pé	"<img src=""_torceu_um_pe.JPG"">"	/tuɾˈsew ˈũ ˈpɛ/	/toʁˈsew ˈũ ˈpɛ/	v		twisted a foot						se torció un pie						s'est tordu un pied					hat sich den Fuß verdreht					s'ha torçat un peu					ha storto un piede											Português::Curso::A1 Português::Vocabulario::Corpo_Saude Português::Vocabulario::Corpo_Saude::Feridas
muito inchado	muito inchado	muito inchado	"<img src=""_inchado.JPG"">"	/ˈmũjtu ĩˈʃadu/	/ˈmũjtu ĩˈʃadu/	exp		very swollen						muy hinchado						très enflé					sehr geschwollen					molt inflat					molto gonfio											Português::Curso::A1 Português::Vocabulario::Corpo_Saude Português::Vocabulario::Corpo_Saude::Feridas
queimarse com água a ferver	queimarse com água a ferver	queimarse com água a ferver	"<img src=""_queimarse_agua_ferver.JPG"">"	/kɐjˈmaɾsɨ ˈkõ ˈaɡwɐ ɐ fɨɾˈveɾ/	/kejˈmaʁsi ˈkõ ˈaɡwɐ a feʁˈveʁ/	exp		burn with boiling water						quemarse con agua hirviendo						se brûler avec de l'eau bouillante					mit kochendem Wasser verbrennen					cremar-se amb aigua bullint					ustionarsi con acqua bollente											Português::Curso::A1 Português::Vocabulario::Corpo_Saude Português::Vocabulario::Corpo_Saude::Feridas
queimadura	queimadura	a queimadura	"<img src=""_queimadura.JPG"">"	/ɐ kɐjmɐˈduɾɐ/	/a kejmaˈduɾɐ/	sf		burn						quemadura						brûlure					Verbrennung					cremada					ustione											Português::Curso::A1 Português::Vocabulario::Corpo_Saude Português::Vocabulario::Corpo_Saude::Feridas
vou desinfetar	vou desinfetar	vou desinfetar	"<img src=""_desinfetar_ferida.JPG"">"	/ˈvo dɨzĩfɨˈtaɾ/	/ˈvo dezĩfeˈtaʁ/	exp		I will disinfect						voy a desinfectar						je vais désinfecter					ich werde desinfizieren					desinfectaré					disinfetterò											Português::Curso::A1 Português::Vocabulario::Corpo_Saude Português::Vocabulario::Corpo_Saude::Tratamento
colocar um penso	colocar um penso	colocar um penso	"<img src=""_poner_um_penso.JPG"">"	/kuluˈkaɾ ˈũ ˈpẽsu/	/koloˈkaʁ ˈũ ˈpẽsu/	exp		apply a bandage						poner un vendaje						mettre un bandage					einen Verband anlegen					posar un embenat					mettere una benda											Português::Curso::A1 Português::Vocabulario::Corpo_Saude
caiu e partiu o braço	caiu e partiu o braço	caiu e partiu o braço	"<img src=""_95_Broken_Arm_Injury_Xray_Doctor_Consult.JPG"">"	/ˈkajw i pɐɾˈtiw u ˈbɾasu/	/ˈkajw i paʁˈtʃiw u ˈbɾasu/	exp		fell and broke his arm						cayó y se rompió el brazo						il est tombé et s'est cassé le bras					er ist gefallen und hat sich den Arm gebrochen					va caure i s'ha trencat el braç					è caduto e si è rotto il braccio											Português::Curso::A1 Português::Vocabulario::Corpo_Saude
anda com yeso	anda com yeso	anda com yeso	"<img src=""_95_Broken_Arm_Injury_Xray_Doctor_Consult.JPG"">"	/ˈɐ̃dɐ ˈkõ ˈɛzu/	/ˈɐ̃dɐ ˈkõ ˈɛzu/	exp		walk with a cast						anda con yeso						marcher avec un plâtre					mit einem Gips laufen					camina amb guix					cammina con il gesso											Português::Curso::A1 Português::Vocabulario::Corpo_Saude Português::Vocabulario::Corpo_Saude::Feridas Português::Vocabulario::Corpo_Saude::Tratamento
cai e magoei o joelho	cai e magoei o joelho	cai e magoei o joelho	"<img src=""_lastimar_rodilla_hurt_knee.JPG"">"	/ˈkaj i mɐɡuˈɐj u ʒuˈɐʎu/	/ˈkaj i maɡoˈej u ʒoˈeʎu/	exp		I fell and hurt the knee						caí y me lastimé la rodilla						tomber et se blesser au genou					fallen und sich das Knie verletzen					caure i ferir-se el genoll					cadere e ferire il ginocchio											Português::Curso::A1 Português::Vocabulario::Corpo_Saude::Feridas Português::Vocabulario::Especial::Frases
magoar-se	magoar-se	magoar-se	"<img src=""_95_Broken_Arm_Injury_Xray_Doctor_Consult.JPG"">"	/mɐɡuˈaɾsɨ/	/maɡoˈaʁsi/	v		to hurt oneself						"lastimarse (con ""m"")"						se blesser					sich verletzen					ferir-se					ferirsi											Português::Curso::A1 Português::Vocabulario::Corpo_Saude
está a deitar sangue	está a deitar sangue	está a deitar sangue	"<img src=""_esta_deitar_sangue_sangrando_bleeding.JPG"">"	/ˈʃta ɐ dɐjˈtaɾ ˈsɐ̃ɡɨ/	/isˈta a dejˈtaʁ ˈsɐ̃ɡi/	exp		is bleeding						está sangrando						il saigne					blutet					està sagnant					sta sanguinando											Português::Curso::A1 Português::Vocabulario::Corpo_Saude Português::Vocabulario::Corpo_Saude::Feridas Português::Vocabulario::Especial::Frases
tosse às vezes	tosse às vezes	tosse às vezes	"<img src=""_tosser.gif"">"	/ˈtɔsɨ ˈaʒ ˈvɛzɨʃ/	/ˈtɔsi ˈas ˈvɛzes/	exp		coughs sometimes						tose a veces						tousse parfois					hustet manchmal					tossa a vegades					tosse a volte											Português::Curso::A1 Português::Vocabulario::Corpo_Saude::Sintomas
tem dor de garganta	tem dor de garganta	tem dor de garganta	"<img src=""_dor_garganta.JPG"">"	/ˈtɐ̃j̃ ˈdoɾ dɨ ɡɐɾˈɡɐ̃tɐ/	/ˈtẽj̃ ˈdoʁ dʒi ɡaʁˈɡɐ̃tɐ/	exp		has a sore throat						tiene dolor de garganta						a mal à la gorge					halsweh					te mal de coll					ha mal di gola											Português::Curso::A1 Português::Vocabulario::Corpo_Saude
para apanhar sol precisa de protetor solar	para apanhar sol precisa de protetor solar	para apanhar sol precisa de protetor solar	"<img src=""_protetor_solar.JPG"">"	/pɐɾɐ ɐpɐˈɲaɾ ˈsɔɫ pɾɨˈsizɐ dɨ pɾutɨˈtoɾ suˈlaɾ/	/paɾɐ apɐˈɲaʁ ˈsɔw pɾeˈsizɐ dʒi pɾoteˈtoʁ soˈlaʁ/	exp		to sunbathe needs sunscreen						para tomar el sol necesita protector solar						pour bronzer a besoin de crème solaire					um sich zu sonnen, braucht Sonnenschutz					fer-se necessitar protecció solar					per prendere il sole serve la crema solare											Português::Curso::A1 Português::Vocabulario::Actividades::Praia Português::Vocabulario::Corpo_Saude Português::Vocabulario::Corpo_Saude::Tratamento Português::Vocabulario::Especial::Frases
contratura	contratura	a contratura	"<img src=""_contratura_contractura.JPG"">"	/ɐ kõtɾɐˈtuɾɐ/	/a kõtɾaˈtuɾɐ/	sf		contracture						contractura						contracture					Kontraktur					contractura					contrattura											Português::Curso::A1 Português::Vocabulario::Corpo_Saude::Feridas
ter / dar um jeito	ter / dar um jeito	ter / dar um jeito	"<img src=""_dar_um_jeito.JPG"">"	/ˈteɾ | ˈdaɾ ˈũ ˈʒɐjtu/	/ˈteʁ | ˈdaʁ ˈũ ˈʒejtu/	exp		to pull a muscle						tener/sufrir una contractura																																Português::Curso::A1 Português::Vocabulario::Corpo_Saude::Feridas
ampolas	ampolas	as ampolas	"<img src=""_ampolas_ampolletas.JPG"">"	/ɐz ɐ̃ˈpɔlɐʃ/	/az ɐ̃ˈpɔlas/	sfp	Tubo&nbsp;pequeno,&nbsp;fechado,&nbsp;que&nbsp;contém&nbsp;líquido&nbsp;no&nbsp;seu&nbsp;interior.	blisters						ampollas						ampoules					Blasen					ampolles					vesciche											Português::Curso::A1 Português::Vocabulario::Corpo_Saude::Medicinas Português::Vocabulario::Especial::Falso_Amigo
feridas	feridas	as feridas	"<img src=""_feridas.JPG"">"	/ɐʃ fɨˈɾidɐʃ/	/aʃ feˈɾidas/	sfp		wounds						heridas						blessures					Wunden					ferides					ferite											Português::Curso::A1 Português::Vocabulario::Corpo_Saude Português::Vocabulario::Corpo_Saude::Feridas
dor de pés	dor de pés	a dor de pés	"<img src=""_dor_de_pes_dolor_de_pies.JPG"">"	/ɐ ˈdoɾ dɨ ˈpɛʃ/	/a ˈdoʁ dʒi ˈpɛs/	sf		foot pain						dolor de pies						douleur aux pieds					Fußschmerzen					dolor als peus					dolore ai piedi											Português::Curso::A1 Português::Vocabulario::Corpo_Saude Português::Vocabulario::Corpo_Saude::Feridas
fiz um entorse	fiz um entorse	fiz um entorse	"<img src=""_torceu_um_pe.JPG"">"	/ˈfiʃ ˈũ ẽˈtɔɾsɨ/	/ˈfiʃ ˈũ ẽˈtɔʁsi/	exp		I sprained						me hice un esguince, me torcí						je me suis foulé					ich habe mich verstaucht					m'he fet un esquinç					mi sono slogato											Português::Curso::A1 Português::Vocabulario::Corpo_Saude Português::Vocabulario::Corpo_Saude::Feridas
dor de estômago	dor de estômago	a dor de estômago	"<img src=""_stomach_ache.jpg"">"	/ɐ ˈdoɾ dɨ ˈʃtomɐɡu/	/a ˈdoʁ dʒi isˈtomaɡu/	sf		stomach pain						dolor de estómago						douleur d'estomac					Bauchschmerzen					dolor d'estómac					dolore di stomaco											Português::Curso::A1 Português::Vocabulario::Corpo_Saude Português::Vocabulario::Corpo_Saude::Doencias
diarrea	diarrea	a diarrea	"<img src=""_diarrea.jpg"">"	/ɐ diɐˈʁɛɐ/	/a dʒiaˈʁɛɐ/	sf		diarrhea						diarrea						diarrhée					Durchfall					diarrea					diarrea											Português::Curso::A1 Português::Vocabulario::Corpo_Saude
prisão de ventre	prisão de ventre	a prisão de ventre	"<img src=""_constipacion_prisao_de_ventre.JPG"">"	/ɐ pɾiˈzɐ̃w̃ dɨ ˈvẽtɾɨ/	/a pɾiˈzɐ̃w̃ dʒi ˈvẽtɾi/	sf		constipation						estreñimiento						constipation					Verstopfung					estrenyiment					stipsi											Português::Curso::A1 Português::Vocabulario::Corpo_Saude
xarope para tosse	xarope para tosse	o xarope para tosse		/u ʃɐˈɾɔpɨ pɐɾɐ ˈtɔsɨ/	/u ʃaˈɾɔpi paɾɐ ˈtɔsi/	sm		cough syrup						jarabe para la tos						sirop pour la toux					Hustensaft					almívar per a la tos					sciroppo per la tosse											Português::Curso::A1 Português::Vocabulario::Corpo_Saude
ter febre	ter febre	ter febre	"<img src=""_ter_febre.JPG"">"	/ˈteɾ ˈfɛbɾɨ/	/ˈteʁ ˈfɛbɾi/	v		to have a fever						tener fiebre						avoir de la fièvre					Fieber haben					tenir febre					avere la febbre											Português::Curso::A1 Português::Vocabulario::Corpo_Saude Português::Vocabulario::Corpo_Saude::Doencias Português::Vocabulario::Corpo_Saude::Sintomas
gripe	gripe	a gripe	"<img src=""_resfriados.JPG"">"	/ɐ ˈɡɾipɨ/	/a ˈɡɾipi/	sf		flu						gripe						grippe					Grippe					grip					influenza											Português::Curso::A1 Português::Vocabulario::Corpo_Saude
ir ao médico	ir ao médico	ir ao médico	"<img src=""_95_Broken_Arm_Injury_Xray_Doctor_Consult.JPG"">"	/ˈiɾ ɐu ˈmɛdiku/	/ˈiʁ au ˈmɛdʒiku/	exp		go to the doctor						ir al médico						aller chez le médecin					zum Arzt gehen					anar al metge					andare dal medico											Português::Curso::A1 Português::Vocabulario::Corpo_Saude
