#separator:tab
#html:true
#tags column:47
arranjar-se	arranjar-se	arranjar-se	arreglarse	/a.ʁɐ̃.ˈʒaɾ-sɨ/	/ɐ.ʁɐ.ˈɲaʁ sɨ/	v pron	vestir-se bem	get ready	/ɡɛt ˈrɛdi/	/ɡɛt ˈrɛdi/	v			arreglarse			v				se préparer			v		sich bereit machen					arreglar-se					prepararsi										Português::Curso::A1 Português::Vocabulario::Pessoas::Tempo_livre Português::Vocabulario::Tipo_Palavra::Verbos
chata, chato	chata, chato	chata, chato	"<img src=""Connie Aburrido.gif"">"	/ˈʃatɐ/, /ˈʃatu/	/ ˈʃatɐ | ˈʃatu /	adjf , adjm		boring	/ˈbɔrɪŋ/	/ˈbɔːrɪŋ/	adj			aburrido, aburrida	/moˈlesto/, /moˈlesta/						ennuyeux, ennuyeuse					langweilig					avorrit, avorrida					noioso, noiosa										Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
moreno, morena (cabelo)	moreno, morena	moreno, morena	"<img src=""Mina_Face.JPG"">"	/mo'ɾenu/, /mo'ɾenɐ/	/ moˈɾɛnu | moˈɾɛnɐ /	adjm , adjf		brunette	/bɹuˈnɛt/	/bruˈnet/	adj			con pelo oscuro												brünett										castano, castana										Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao::Cabelo Português::Vocabulario::Tipo_Palavra::Adjetivos
alegre	alegre	alegre	"<img src=""Sasha_Character.JPG"">"	/ɐ'lɛɡɾi/	/ aˈlɛɡɾi /	adj m/f		cheerful	/ˈtʃɪrfəl/	/ˈtʃɪəfᵊl/	adj			alegre	/a'leɣɾe/		adj m/f.				heureux					fröhlich					alegre					felice										Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
comunicativo, comunicativa	comunicativo, comunicativa	comunicativo, comunicativa	"<img src=""Armin Speech GIF.webp"">"	/ko.mu.ni.kaˈti.vu/, /ko.mu.ni.kaˈti.vɐ/	/ komunikaˈtʃivu | komunikaˈtʃivɐ /	adjm, adjf		communicative	/kəˈmjunəˌkeɪtɪv/	/kəˈmjuːnɪkətɪv/	adj			comunicativo, comunicativa							communicatif, communicative					kommunikativ					comunicatiu, comunicativa					comunicativo, comunicativa										Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
convencido, convencida	convencido, convencida	convencido, convencida	"<img src=""Jean_Engreido.gif"">"	/kõ.vẽ.ˈsi.du/, /kõ.vẽ.ˈsi.dɐ/	/ kõvẽˈsidu | kõvẽˈsidɐ /	adjm, adjf		condescending	/ˌkɑndɪˈsɛndɪŋ/	/ˌkɒndɪˈsendɪŋ/	adj			engreído, engreída							hautain, hautaine					überheblich					convençut, convençuda					convinto, convinta										Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
legal	legal	legal	"<img src=""Levi_Gif_Under.gif"">"	/lɨˈɡaɫ/	/ leˈɡaw /	adj m/f		cool	/ˈkul/	/ˈkuːl/	adj			guay (ES), chido, chida (MEX)							sympa					cool					guai					carino, carina										Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
covarde	covarde	covarde	"<img src=""Daz.JPG"">"	/ko.ˈvaɾ.ðɨ/	/ koˈvaʁdʒi /	adj m/f		coward, cowardly	/ˈkaʊə˞d | ˈkaʊə˞dli/	/ˈkaʊəd | ˈkaʊədli/	adj			cobarde							lâche					feige					covard					codardo										Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
curioso, curiosa	curioso, curiosa	curioso, curiosa	"<img src=""Hange_Curious.JPG"">"	/kuɾju'zo/, /kuɾju'zozɐ/	/ kuɾiˈɔzu | kuɾiˈɔzɐ /	adjm , adjf		curious	/ˈkjʊriəs/	/ˈkjʊəriəs/	adj			curioso, curiosa	/kuɾjo'so/, /kuɾjo'sa/		adjm, adjf				curieux, curieuse					neugierig					curiós, curiosa					curioso, curiosa										Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
moreno, morena (pele)	moreno, morena	moreno, morena	"<img src=""Ymir_Face.JPG"">"	/mo'ɾenu/, /mo'ɾenɐ/	/ moˈɾɛnu | moˈɾɛnɐ /	adjm , adjf		dark-skinned	/ˈdɑrkˈskɪnd/	/ˌdɑːkˈskɪnd/	adj			moreno, morena	/mo'ɾeno/, /mo'ɾena/		adjm, adjf				brun, brune										moreno, morena															Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Pessoas::Descripçao::Pele Português::Vocabulario::Tipo_Palavra::Adjetivos
divorciado, divorciada	divorciado, divorciada	divorciado, divorciada		/di.vɔɾsi'adu/, /di.vɔɾsi'adɐ/	/ dʒivoʁsiˈadu | dʒivoʁsiˈadɐ /	adjm , adjf		divorced	/dəˈvɔrst/	/dɪˈvɔːst/	adj			divorciado, divorciada							divorcé, divorcée					geschieden					divorciat, divorciada					divorziato, divorziata										Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Pessoas::Estado_civil Português::Vocabulario::Tipo_Palavra::Adjetivos
excêntrico, excêntrica	excêntrico, excêntrica	excêntrico, excêntrica	"<img src=""Hange_CHaracter.JPG"">"	/ɨʃ.ˈsẽt.ɾi.ku/, /ɨʃ.ˈsẽt.ɾi.kɐ/	/ iʃˈsẽtɾiku | iʃˈsẽtɾikɐ /	adjm, adjf		eccentric	/ɪkˈsɛntɹɪk/	/ekˈsentrɪk/	adj			excéntrico, excéntrica	/di.voɾˈθjaðo/ , /di.voɾˈθjaða/		adjm, adjf				excentrique					exzentrisch					excèntric, excèntrica					eccentrico, eccentrica										Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
elegante (boa aparência)	elegante	elegante	"<img src=""Levi_Face.JPG"">"	/ɨɫɨ'ɡɐt(ɨ)/	/ ileˈɡɐ̃tʃi /	adj m/f	También es utilizada para decir que una persona está delgada, en lugar de magro, magra.	elegant	/ˈɛlɪɡənt/	/ˈelɪɡᵊnt/	adj			elegante							élégant					elegant					elegant					elegante										Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
gordo, gorda	gordo, gorda	gordo, gorda	"<img src=""Gross_Fat.webp"">"	/'ɡɔɾdu/, /'ɡɔɾdɐ/	/ ˈɡɔʁdu | ˈɡɔʁdɐ /	adjm , adjf		fat	/ˈfæt/	/ˈfæt/	adj			gordo, gorda	/ele'ɣante/		adj m/f.				gros, grosse					dick					gros, grossa					grasso, grassa										Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Pessoas::Descripçao::Corpo Português::Vocabulario::Tipo_Palavra::Adjetivos
simpático, simpática	simpático, simpática	simpático, simpática	"<img src=""Marco_Jean.jpg"">"	/sĩ'patiku/, /sĩ'patikɐ/	/ sĩˈpatʃiku | sĩˈpatʃikɐ /	adjm , adjf		friendly	/ˈfɹɛndli/	/ˈfrendli/	adj			simpático, simpática	/'goɾðo/, /'goɾða/		adjm, adjf				sympa					nett					simpàtic, simpàtica					simpatico, simpatica										Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
divertido, divertida	divertido, divertida	divertido, divertida	"<img src=""Dancing_Levi_Eren.gif"">"	/di.vɨɾ'tiðu/, /di.vɨɾ'tiðɐ/	/ dʒiveʁˈtʃidu | dʒiveʁˈtʃidɐ /	adjm , adjf		fun	/ˈfən/	/ˈfʌn/	adj			divertido, divertida	/sim'patiko/, /sim'patika/		adjm, adjf				drôle					lustig					divertit, divertida					divertente										Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
engraçado, engraçada	engraçado, engraçada	engraçado, engraçada	"<img src=""Sasha_Connie_Balancing_Potatos.jpg"">"	/ẽ.ɡɾɐˈsa.du/, /ẽ.ɡɾɐˈsa.dɐ/	/ ẽɡɾaˈsadu | ẽɡɾaˈsadɐ /	adjm , adjf		funny	/ˈfəni/	/ˈfʌni/	adj			gracioso, graciosa	/diβeɾˈtiðo/, /diβeɾˈtiða/		adjm, adjf				drôle					lustig					graciós, graciosa					divertente										Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
feliz	feliz	feliz	"<img src=""Armin_Ocean_Happy.jpeg"">"	/ˈfɛ.liz/	/ feˈliʃ /	adj m/f		happy	/ˈhæpi/	/ˈhæpi/	adj			feliz	/ɡɾaˈθjoso/, /ɡɾaˈθjosa/						heureux					glücklich					feliç					felice										Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
trabalhador, trabalhadora	trabalhador, trabalhadora	trabalhador, trabalhadora	"<img src=""Eren Working.gif"">"	/tɾɐbɐʎa'doɾ/, /tɾɐbɐʎa'doɾɐ/	/ tɾabaʎaˈdoʁ | tɾabaʎaˈdɔɾɐ /	adjm , adjf		hardworking	/ˈhɑrdˈwɜ˞kɪŋ/	"/#hardworking#/"	adj			trabajador, trabajadora	/feˈlis/		adj m/f.				travailleur, travailleuse					fleißig					treballador, treballadora					lavoratore, lavoratrice										Português::Curso::A1 Português::Vocabulario::Pessoas::Carácter Português::Vocabulario::Tipo_Palavra::Adjetivos
independente	independente	independente	"<img src=""Mikasa Eren Gathering Wood.JPG"">"	/ĩ.ˌde.pẽ.ˈdẽ.tɨ/	/ ĩdepẽˈdẽtʃi /	adj m/f		independent	/ˌɪndəˈpɛndənt/	/ˌɪndɪˈpendᵊnt/	adj			independiente	/tɾaβaxaˈðoɾ/, /tɾaβaxaˈðoɾa/		adjm, adjf				indépendant					unabhängig					independent					indipendente										Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
inteligente	inteligente	inteligente	"<img src=""Armin_Character.JPG"">"	/ĩ.tɨɫiˈʒẽ.tɨ/	/ ĩteliˈʒẽtʃi /	adj m/f		intelligent	/ɪnˈtɛlədʒənt/	/ɪnˈtelɪdʒᵊnt/	adj			inteligente							intelligent					intelligent					intel·ligent					intelligente										Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
introvertido, introvertida	introvertido, introvertida	introvertido, introvertida	"<img src=""Armin Kid Shy Crying.JPG"">"	/ĩ.tɾu.vɨɾ.ˈti.du/ ,  /ĩ.tɾu.vɨɾ.ˈti.dɐ/	/ ĩtɾoveʁˈtʃidu | ĩtɾoveʁˈtʃidɐ /			introverted	/ˈɪntɹəˌvɜ˞təd/	/ˌɪntrəˈvɜːtɪd/				introvertido							introverti					introvertiert					introvertit					introverso										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
preguiçoso, preguiçosa	preguiçoso, preguiçosa	preguiçoso, preguiçosa	"<img src=""Hitch_Sleeping.JPG"">"	/pɾɨ.ɡi'sozu/, /pɾɨ.ɡi'sozɐ/	/ pɾeɡjˈsɔzu | pɾeɡjˈsɔzɐ /	adjm , adjf		lazy	/ˈleɪzi/	/ˈleɪzi/	adj			perezoso, perezosa			adjm, adjf				paresseux, paresseuse					faul					peresós, peresosa					pigro, pigra										Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
cabelo comprido	cabelo comprido	cabelo comprido	"<img src=""Eren_Hair.jpg"">"	/kɐ.ˈbe.ɫu kõ.ˈpɾi.du/	/ kaˈbɛlu kõˈpɾidu /	sm + adjm		long	/ˈlɔŋ/	/ˈlɒŋ/	adj			pelo largo			sm + adjm				longs (cheveux)					lange (Haare)					llarg, llarga (cabell)					lunghi, lunga (capelli)										Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao::Cabelo Português::Vocabulario::Tipo_Palavra::Adjetivos
longa, longo	longa, longo	longa, longo		/'lõɡɐ/, /'lõɡu/	/ ˈlõɡɐ | ˈlõɡu /	adjf , adjm		long	/ˈlɔŋ/	/ˈlɒŋ/	adj			largo, larga	/'laɾɡo/, /'laɾɡa/		adjf, adjm				long					long					llarg, llarga					lungo, lunga										Português::Curso::A1 Português::Vocabulario::Tipo_Palavra::Adjetivos
mais nova, novo	mais nova, novo	mais nova, novo	"<img src=""Mikasa_Child.jpg"">"	/ˈno.vɐ/,  /ˈno.vu/	/ ˈmajs ˈnɔvɐ | ˈnɔvu /	adjm , adjf		new	/ˈnu/	/ˈnjuː/	adj			más joven	/kaˈsaða/  , /kaˈsaðo/		adjm, adjf				plus jeune					jünger					més jove					più giovane										Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Pessoas::Descripçao::Idade Português::Vocabulario::Tipo_Palavra::Adjetivos
barulhento, barulhenta	barulhento, barulhenta	barulhento, barulhenta	"<img src=""Eren_Brigento.JPG"">"	/bɐ.ɾu.ˈʎẽ.tu/, /bɐ.ɾu.ˈʎẽ.tɐ/	/ baɾuˈʎẽtu | baɾuˈʎẽtɐ /	adjm, adjf		noisy	/ˈnɔɪzi/	/ˈnɔɪzi/	adj			ruidoso, ruidosa	/ˈnwe.βa/, /ˈnwe.βo/		adjf, adjm				bruillant					laut					sorollós, sorollosa					rumoroso, rumorosa										Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
mais velho, velha	mais velho, velha	mais velho, velha	"<img src=""Levi Dies Old Age.JPG"">"	/'vɛʎu/, /'vɛʎɐ/	/ ˈmajs ˈvɛʎu | ˈvɛʎɐ /	adjm , adjf		old	/ˈoʊld/	/ˈəʊld/	adj			mayor							plus âgé					älter					més vell, més vella					più vecchio, più vecchia										Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Pessoas::Descripçao::Idade Português::Vocabulario::Tipo_Palavra::Adjetivos
