No	pt_word	pt_word_art	pt_ipa_PT	pt_ipa_BR	pt_type_gender	pt_notes	en_word	en_ipa_US	en_ipa_UK	en_type	en_marker	en_notes	es_word	es_ipa_ES	es_ipa_LA	es_type_gender	es_marker	es_notes	image	fr_word	fr_word_art	fr_ipa	fr_type_gender	fr_notes	de_word	de_word_art	de_ipa	de_type_gender	de_notes	val_word	val_ipa	cat_ipa	val_type_gender	val_notes	it_word	it_ipa	it_type_gender	it_notes	en_pron	pt_pron	es_pron	fr_pron	de_pron	it_pron	val_pron	tags
7085	couve	a couve	/ˈko.vɨ/	/ˈko.vɨ/	sf		cabbage						col, repollo							chou					Kohl					col					col											
7086	couve-flor	a couve-flor	/ˈko.vɨ ˈfɫoɾ/	/ˈko.vɨ ˈfɫoɾ/	sf		cauliflower						coliflor							chou-fleur					Blumenkohl					coliflor					cavolfiore											
7087	tâmara	a tâmara	/ˈtɐ.mɐ.ɾɐ/	/ˈtɐ.mɐ.ɾa/	sf		date						dátil							datte					Dattel					dàtil					dattero											
7088	endiva, endívia	a endiva, a endívia	/ẽ.ˈdi.vɐ/, /ẽ.ˈdi.vi.ɐ/	/ẽ.ˈdi.vɐ/, /ẽ.ˈdi.vi.ɐ/	sf		endive						endivia							endive					Endivie					endívia					endivia											
7089	espargo	o espargo	/ɨʃ.ˈpaɾ.ɡu/	/is.ˈpar.ɡu/	sm		asparagus						espárrago							asperge					Spargel					espàrrec					asparago											
7090	espinafres	os espinafres	/ɨʃ.pi.na.ˈfɾɨʃ/	/is.pi.na.ˈfɾɨʃ/	smp		spinach						espinacas							épinards					Spinat					espinacs					spinaci											
7091	framboesa	a framboesa	/fɾɐ̃.bɔ.ˈe.zɐ/	/fɾɐ̃.bɔ.ˈe.zɐ/	sf		raspberry						frambuesa							framboise					Himbeere					morera					lampone											
7092	morango	o morango	/mu.ˈɾɐ̃.ɡu/	/mu.ˈɾɐ̃.ɡu/	sm		strawberry						fresa / fresón							fraise					Erdbeere					fresca					fragola											
7093	grão de bico	o grão de bico	/ˈɡɾɐ̃w̃ dɨ ˈbi.ku/	/ˈɡɾɐ̃w̃ dɨ ˈbi.ku/	sm		chickpea						garbanzo							pois chiche					Kichererbse					cigronet					cicerchia											
7094	romã	a romã	/ɾu.ˈmɐ̃/	/ɾo.ˈmɐ̃/	sf		pomegranate						granada							grenade					Granatapfel					romaní					melagrana											
7095	ervilhas	as ervilhas	/ɨɾ.ˈvi.ʎɐʃ/	/is.ˈvi.ʎɐʃ/	sfp		peas						guisantes							pois					Erbsen					piselli					piselli											
7096	favas	as favas	/ˈfa.vɐʃ/	/ˈfa.vɐʃ/	sfp		broad beans						habas							fèves					Saubohnen					faves					fave											
7097	figo	o figo	/ˈfi.ɡu/	/ˈfi.ɡu/	sm		fig						higo							figue					Feige					figa					fico											
7098	figo da índia	o figo da índia	/ˈfi.ɡu ðɐ ˈĩ.dɨ.ɐ/	/ˈfi.ɡu dɐ ˈĩ.dʒi.ɐ/	sm		prickly pear						higo chumbo							figue de Barbarie					Feigenkaktus					figa d'Índia					fico d'India											
7099	feijão	o feijão	/fej.ˈʒɐ̃w̃/	/fej.ˈʒɐ̃w̃/	sm		beans						judía							haricots					Bohnen					fejão					fagiolo											
7100	feijão verde	o feijão verde	/fej.ˈʒɐ̃w̃ ˈveɾ.ðɨ/	/fej.ˈʒɐ̃w̃ ˈveɾ.ði/	sm		green beans						judías verdes							haricots verts					Grüne Bohnen					fejó verd					fagiolo verde											
7101	kiwi	o kiwi	/ˈki.wi/	/ˈki.wi/	sm		kiwi						kiwi							kiwi					Kiwi					kiwi					kiwi											
7102	alface	a alface	/ɐɫ.ˈfa.sɨ/	/aɫ.ˈfa.sɨ/	sf		lettuce						lechuga							laitue					Kopfsalat					enciam					lattuga											
7103	lentilhas	as lentilhas	/lẽ.ˈti.ʎɐʃ/	/lẽ.ˈti.ʎɐʃ/	sfp		lentils						lentejas							lentilles					Linsen					llenties					lenticchie											
7104	limão	o limão	/li.ˈmɐ̃w̃/	/li.ˈmɐ̃w̃/	sm		lemon						limón							citron					Zitrone					llimona					limone											
7105	milho	o milho	/ˈmi.ʎu/	/ˈmi.ʎu/	sm		corn						maíz							maïs					Mais					maïs					mais											
7106	tangerina	a tangerina	/tɐ̃.ʒe.ˈɾi.nɐ/	/tɐ̃.ʒe.ˈɾi.nɐ/	sf		tangerine						mandarina							mandarine					Mandarine					taronja					clementina											
7107	manga	a manga	/ˈmɐ̃.ɡɐ/	/ˈmɐ̃.ɡɐ/	sf		mango						mango							mangue					Mango					mànec					mango											
7108	maçã	a maçã	/mɐ.ˈsɐ̃/	/ma.ˈsɐ̃/	sf		apple						manzana							pomme					Apfel					mel					mela											
7109	pêssego	o pêssego	/ˈpe.se.ɡu/	/ˈpe.se.ɡu/	sm		peach						melocotón							pêche					Pfirsich					préssec					pesca											
7110	melão	o melão	/mɨ.ˈlɐ̃w̃/	/me.ˈlɐ̃w̃/	sm		melon						melón							melon					Melone					meló					melone											
7111	melancia	a melancia	/mɨ.ˈlɐ̃.si.ɐ/	/me.ˈlɐ̃.si.ɐ/	sf		watermelon						sandía							pasteque					Wassermelone					síndria					cocomero											
7112	marmelo	o marmelo	/mɐɾ.ˈmɛ.lu/	/maɾ.ˈmɛ.lu/	sm		quince						membrillo							coing					Quitte					melmelada					melone											
7113	amora	a amora	/ɐ.ˈmo.ɾɐ/	/a.ˈmo.ɾɐ/	sf		blackberry						mora							mûre					Brombeere					morer					mora											
7114	nabo	o nabo	/ˈna.bu/	/ˈna.bu/	sm		turnip						nabo							navet					Rübe					nabo					ravanello											
7115	laranja	a laranja	/lɐ.ˈɾɐ̃.ʒɐ/	/la.ˈɾɐ̃.ʒɐ/	sf		orange						naranja							orange					Orange					taronja					arancia											
7116	nectarina	a nectarina	/nɛk.tɐ.ˈɾi.nɐ/	/ne̞k.ta.ˈɾi.nɐ/	sf		nectarine						nectarina							nectarine					Nektarine					nectarina					nectarina											
7117	nêspera	a nêspera	/ˈneʃ.pɛ.ɾɐ/	/ˈneʃ.pɛ.ɾɐ/	sf		medlar						níspero							néflier					Mispel					nispro					néspola											
7118	papaia	a papaia	/pɐ.ˈpa.i.ɐ/	/pa.ˈpa.i.ɐ/	sf		papaya						papaya							papaye					Papaya					papallona					papaya											
7119	batata	a batata	/bɐ.ˈta.tɐ/	/ba.ˈta.tɐ/	sf		potato						patata							pomme de terre					Kartoffel					patata					patata											
7120	pepino	o pepino	/pɨ.ˈpi.nu/	/pi.ˈpi.nu/	sm		cucumber						pepino							concombre					Gurke					cogombre					cetriolo											
7121	pera	a pera	/ˈpe.ɾɐ/	/ˈpe.ɾɐ/	sf		pear						pera							poire					Birne					pera					pera											
7122	pimentão	o pimentão	/pi.mẽ.ˈtɐ̃w̃/	/pi.mẽ.ˈtɐ̃w̃/	sm		bell pepper						pimiento							poivron					Paprika					pebrot					peperone											
7123	ananás, abacaxi	o ananás, o abacaxi	/ɐ.nɐ.ˈnas/, /a.ba.ˈka.ʃi/	/a.nɐ.ˈnas/, /a.ba.ˈka.ʃi/	sm		pineapple						piña							ananas					Ananas					pinya					ananas											
7124	banana	a banana	/bɐ.ˈna.nɐ/	/ba.ˈna.nɐ/	sf		banana						plátano							banane					Banane					plàtan					banana											
7125	toranja	a toranja	/to.ˈɾɐ̃.ʒɐ/	/to.ˈɾɐ̃.ʒɐ/	sf		grapefruit						pomelo, toronja							pamplemousse					Grapefruit					taronja					pompelmo											
7126	rabanete	o rabanete	/ʁɐ.βɐ.ˈnɛ.tɨ/	/ʁɐ.ba.ˈne.ti/	sm		radish						rábano							radis					Rettich					radís					ravanello											
7127	beterraba	a beterraba	/bɨ.tɨ.ˈʁa.bɐ/	/be.te.ˈʁa.bɐ/	sf		beet remolacha						remolacha, betabel												Rote Beete					beterraba					barba rossa											
7128	melancia	a melancia	/mɨ.ˈlɐ̃.si.ɐ/	/me.ˈlɐ̃.si.ɐ/	sf		watermelon						sandía							sandía					Wassermelone					síndria					cocomero											
7129	cogumelo	o cogumelo	/ko.ɡu.ˈmɛ.lu/	/ko.ɡu.ˈmɛ.lu/	sm		mushroom						champiñon, seta							champignon					Pilz					cogombre					funghi											
7130	soja	a soja	/ˈso.ʒɐ/	/ˈso.ʒɐ/	sf		soybean						soja							soja					Soja					soja					soia											
7131	uva	a uva	/ˈu.vɐ/	/ˈu.vɐ/	sf		grape						uva							raisin					Traube					raïm					uva											
7132	cenoura	a cenoura	/sɨ.ˈno.wɾɐ/	/se.ˈno.ɾɐ/	sf		carrot						zanahoria							carotte					Möhre					carabassa					carota											
