7157	caranguejo	o caranguejo	/ka.ɾɐ̃.ˈɡe.ʒu/	/ka.ɾɐ̃.ˈɡe.ʒu/	sm		crab						cangrejo							crabe					Krabbe					cranc					granchio
7158	carpa	a carpa	/ˈkaɾ.pɐ/	/ˈkaɾ.pɐ/	sf		carp						carpa							carpe					Karpfen					carpa					carpa
7159	dourada	a dourada	/do.ˈɾa.dɐ/	/do.ˈɾa.dɐ/	sf		gilt-head bream						dorada							daurade					Giltheadbrasse					orada					orata
7160	espadarte	o espadarte	/ɨʃ.pɐ.ˈðaɾ.tɨ/	/is.pa.ˈdaɾ.ti/	sm		swordfish						emperador							espadon					Schwertfisch					espatlla					pesce spada
7161	camarões / gambas	os camarões, as gambas	/kɐ.mɐ.ˈɾõj̃ʃ/, /ˈɡɐ̃.bɐʃ/	/ka.ma.ˈɾõj̃ʃ/, /ˈɡɐ̃.bas/	smp sfp		shrimp						gambas							crevette					Garnelen					cambró					gambero
7162	carapau	o carapau	/kɐ.ɾɐ.ˈpaw/	/ka.ɾa.ˈpaw/	sm		horse mackerel						jurel							chinchard					Makrele					macarel					maccarello
7163	lagosta	a lagosta	/lɐ.ˈɡɔʃ.tɐ/	/la.ˈɡɔʃ.tɐ/	sf		lobster						langosta							langouste					Languste					llagosta					aragosta
7164	langostim, lagostins	o langostim, os lagostins	/lɐ̃.ɡuʃ.ˈtĩ, ˈla.ɡuʃ.tĩʃ/	/lɐ̃.ɡuʃ.ˈtĩ, ˈla.ɡuʃ.tĩʃ/	sm smp		prawn						langostinos							crevette					Garnele					llagostí					gamberetto
7165	linguado	o linguado	/lĩ.ɡu.ˈa.du/	/lĩ.ɡwa.ˈdu/	sm		sole						lenguado							sole					Scholle					llenguado					sogliola
7166	robalo	o robalo	/ʁu.ˈba.lu/	/ʁo.ˈba.lu/	sm		sea bass						lubina							bar					Loup de mer					rellotge					branzino
7167	lúcio	o lúcio	/ˈlu.si.u/	/ˈlu.si.u/	sm		pike						lucio							poisson					Hecht					lluciuccio					luccio
7168	mexilhão	o mexilhão	/ˌme.ʃi.ˈʎɐ̃w̃/	/ˌme.ʃi.ˈʎɐ̃w̃/	sm		mussel						mejillón							moule					Muschel					musclo					cozze
7169	pescada	a pescada	/pɨʃ.ˈka.dɐ/	/piʃ.ˈka.dɐ/	sf		hake						merluza							aiglefin					Schellfisch					pelada					pesce
7170	mero	o mero	/ˈmɛ.ɾu/	/ˈme.ɾu/	sm		grouper						mero							mérou					Zackenbarsch					mèrgul					morone
7171	navalha / lingueirão	a navalha, o lingueirão	/nɐ.ˈva.ʎɐ/, /lĩ.ɡɐj.ˈɾɐ̃w̃/	/na.ˈva.ʎɐ/, /lĩ.ɡe.ˈɾɐ̃w̃/	s f		razor clam						navaja							couteau					Meeresmesser					navalla					navaja
7172	ostra	a ostra	/ˈɔʃ.tɾɐ/	/ˈɔʃ.tɾɐ/	sf		oyster						ostra							huître					Auster					ostra					ostrica
7173	percebe	o percebe	/pɨɾ.ˈsɛ.bɨ/	/peɾ.ˈse.bɨ/	sm		barnacle						percebe							pouce-pied					Entenmuschel					peu de porc					capone
