6161	dessarrumado, desarrumada		/dɨsɐʁu'madu/, /dɨsɐʁu'madɐ/	/desɐʁu'madu/, /desɐʁu'madɐ/	adjm , adjf		untidy	/ˈmɛsi/		adj			desordenado, desordenada	/desoɾðe'nado/, /desoɾðe'nada/		adjm, adjf																														
6162	divertido, divertida		/di.vɨɾ'tiðu/, /di.vɨɾ'tiðɐ/	/di.vɛʁ'tidu/, /di.vɛʁ'tidɐ/	adjm , adjf		fun	/fʌn/		adj			divertido, divertida	/diβeɾˈtiðo/, /diβeɾˈtiða/		adjm, adjf																														
6163	divorciado, divorciada		/di.vɔɾsi'adu/, /di.vɔɾsi'adɐ/		adjm , adjf		divorced	/dɪˈvɔrst/		adj			divorciado, divorciada	/di.voɾˈθjaðo/ , /di.voɾˈθjaða/		adjm, adjf																														
6164	elegante		/ɨɫɨ'ɡɐt(ɨ)/	/ɨɫɨ'ɡɐt(ɨ)/	adj	También utilizada para decir que una persona está delgada.	elegant	/ˈɛlɪɡənt/		adj			elegante	/ele'ɣante/		adj m/f.																														
6165	fácil		/ˈfa.siɫ/		adjetivo (masc/fem)		easy	/ˈizi/		adj			fácil	/ˈfasiɫ/																																
6166	falador, faladora		/fɐ.lɐ'doɾ/, /fɐ.lɐ'doɾɐ/	/fɐ.la'doɾ/, /fɐ.la'doɾɐ/	adjm , adjf		talkative	/'tɔkətɪv/		adj			hablador, habladora	/aβla'ðoɾ/, /aβla'ðoɾa/		adjm, adjf																														
6167	feliz		/ˈfɛ.liz/		adjetivo		happy	/ˈhæp.i/		adj			feliz	/feˈlis/		adj m/f.																														
6168	físico, física		/'fiziku/, /'fizikɐ/	/'fiziku/, /'fizikɐ/	adjm , adjf		physical	/ˈfɪzɪkəl/		adj			físico, física	/'fisiko/, /'fisika/		adjm, adjf																														
6169	gordo, gorda		/'ɡɔɾdu/, /'ɡɔɾdɐ/	/'ɡoʁdu/, /'ɡoʁdɐ/	adjm , adjf		fat	/fæt/		adj			gordo, gorda	/'goɾðo/, /'goɾða/		adjm, adjf																														
6170	introvertido, introvertida		/ĩtɾu.vɛɾ'tidu/, /ĩtɾu.vɛɾ'tidɐ/	/ĩtɾow.veʁ'tidu/, /ĩtɾow.veʁ'tidɐ/	adjm , adjf		introverted	/ˌɪntrəˈvɜrtɪd/		adj			introvertido, introvertida	/introβer'tiðo/, /introβer'tiða/		adjm, adjf																														
6171	largo, larga		/'laɾɡu/, /'laɾɡɐ/	/'laʁgu/, /'laʁɡɐ/	adjm , adjf		wide	/waɪd/		adj			largo, larga	/'antʃo/, /'antʃa/		adjm, adjf																														
6172	liso, lisa		/'lizu/, /'lizɐ/	/'lizu/, /'lizɐ/	adjm , adjf		smooth	/streɪt/		adj			liso, lisa	/'liso/, /'lisa/		adjm, adjf																														
6173	longa, longo		/'lõɡɐ/, /'lõɡu/	/'lõɡɐ/, /'lõɡu/	adjf , adjm		long	/lɔŋ/		adj			larga, largo	/'laɾɡo/, /'laɾɡa/		adjm, adjf																														
6174	louro, loura		/'lowɾu/, /'lowɾɐ/	/'lowʁu/, /'lowʁɐ/	adjm , adjf		blonde	/blɒnd/		adj			rubio, rubia	/'ruβjo/, /'ruβja/		adjm, adjf																														
6175	magro, magra		/'maɡɾu/, /'maɡɾɐ/	/'maɡɾu/, /'maɡɾɐ/	adjm , adjf	La palabra magro, y el verbo emagrecer está muy ligado a estar enfermo, así que utilizarla para describir a una persona puede resultar ofensivo. <br>Cuando se quiere hacer un cumplido usar <i>"elegante".<i>	thin	/θɪn/		adj			delgado, delgada	/delˈɣaðo/, /delˈɣaða/		adjm, adjf																														
6176	moreno, morena		/mo'ɾenu/, /mo'ɾenɐ/	/mo'ɾenu/, /mo'ɾenɐ/	adjm , adjf		dark-skinned	/ˈdɑːrk ˈhɛrd/		adj			moreno, morena	/mo'ɾeno/, /mo'ɾena/		adjm, adjf																														
6177	nova, novo		/ˈno.vɐ/,  /ˈno.vu/		adjm , adjf		new	/nuː/		adj			nueva, nuevo	/ˈnwe.βa/, /ˈnwe.βo/		adjf, adjm																														
6178	pequena, pequeno		/pɨ'kɛnɐ/, /pɨ'kɛnu/	/pe'ke.nɐ/, /pe'ke.nu/	adjf, adjm		small	/smɔl/		adj			pequeña, pequeño	/pe'keɲo/, /pe'keɲa/		adjm, adjf																														
6179	preguiçoso, preguiçosa		/pɾɨ.ɡi'sozu/, /pɾɨ.ɡi'sozɐ/	/pɾɨ.ɡi'sozu/, /pɾɨ.ɡi'sozɐ/	adjm , adjf		lazy	/ˈleɪzi/		adj			perezoso, perezosa	/peɾe'θoso/, /peɾe'θosa/		adjm, adjf																														
6180	reformado, reformada (BR)		/ʁɨ.fuʁ'madu/, /ʁɨ.fuʁ'madɐ/	/ʁe.foɾ'madu/, /ʁe.foɾ'madɐ/	adjm , adjf		retired	/rɪ'taɪɚd/		adj			jubilado, jubilada	/xuβi'laðo/, /xuβi'laða/		adjm, adjf																														
6181	ruivo, ruiva		/'ʁujvu/, /'ʁujvɐ/	/'ʁuivu/, /'ʁuivɐ/	adjm , adjf		red-haired	/ˈrɛdˌhɛrd/		adj			pelirrojo, pelirroja	/peˈli'rroxo/, /peˈli'rroxa/		adjm, adjf																														
6182	sério, seria		/'sɛɾju/, /'sɛɾjɐ/	/'seʁiu/, /'seʁjɐ/	adjm , adjf		serious	/ˈsɪriəs/		adj			serio, seria	/'seɾjo/, /'seɾja/		adjm, adjf																														
6183	simpático, simpática		/sĩ'patiku/, /sĩ'patikɐ/	/sĩ'patiku/, /sĩ'patikɐ/	adjm , adjf		friendly	/naɪs/		adj			simpático, simpática	/sim'patiko/, /sim'patika/		adjm, adjf																														
6184	sociável		/su.si'a.vɛl/	/so.si'a'vel/	adj m/f		sociable	/'soʊʃəbəl/		adj			sociable	/so.sja'βle/		adj m/f.																														
6185	solteiro, solteira		/sol'tejɾu/, /sol'tejɾɐ/		adjm , adjf		single	/ˈsɪŋɡəl/		adj			soltero, soltera	/solˈteɾa/, /solˈteɾo/		adjm, adjf																														
6186	sozinho, sozinha		/su'ziɲu/, /su'ziɲɐ/	/so'ziɲu/, /so'ziɲɐ/	adjm, adjf		alone	/əˈloʊn/		adj			solo, sola	/'so.lo/		adjm, adjf																														
6187	tímido, tímida		/'timidu/, /'timidɐ/	/'timidu/, /'timidɐ/	adjm , adjf		shy	/'tɪmɪd/		adj			tímido, tímida	/'timiðo/, /'timiða/		adjm, adjf																														
6188	trabalhador, trabalhadora		/tɾɐbɐʎa'doɾ/, /tɾɐbɐʎa'doɾɐ/	/tɾɐbaʎa'doɾ/, /tɾɐbaʎa'doɾɐ/	adjm , adjf		hardworking	/ˈhɑːrdˌwɜːrkɪŋ/		adj			trabajador, trabajadora	/tɾaβaxaˈðoɾ/, /tɾaβaxaˈðoɾa/		adjm, adjf																														
6189	velho, velha		/'vɛʎu/, /'vɛʎɐ/	/'vɛʎu/, /'vɛʎɐ/	adjm , adjf		old	/oʊld/		adj			viejo, vieja	/'bje.xo/, /'bje.xa/		adjm, adjf																														
6190	viúvo, viúva		/'vi.u.vo/,  /'vi.u.vɐ/		adjm , adjf		widowed	/ˈwɪdoʊd/		adj			viudo, viuda	/ˈbwido/ , /ˈbwida/		adjm, adjf																														
8870	cheio, cheia		/ˈʃɐj.u/, /ˈʃɐj.ɐ/	/ˈʃej.u/, /ˈʃej.ɐ/	adjm , adjf		full	/fʊl/					lleno, llena	/ˈʎeno/, /ˈʎena/																																adjm , adjf
8871	chata, chato		/ˈʃatɐ/, /ˈʃatu/	/ˈʃatɐ/, /ˈʃatu/	adjf , adjm		boring	/əˈnɔɪɪŋ/					molesto, molesta	/moˈlesto/, /moˈlesta/																																adjf , adjm
8872	nascido, nacida		/nɐʃˈsidu/, /nɐˈsidɐ/	/naʃˈsidu/, /naˈsidɐ/	adjm , adjf		born	/bɔrn/					nacido, nacida	/naˈθiðo/, /naˈθiða/																																adjm , adjf
8873	giro, gira		/ˈʒi.ɾu/, /ˈʒi.ɾɐ/	/ˈʒi.ɾu/, /ˈʒi.ɾɐ/	adjm , adjf		cute	/kuːl/					chulo, chula	/ˈtʃulo/, /ˈtʃula/																																adjm , adjf
8874	tolo, tola		/ˈtɔ.lu/, /ˈtɔ.lɐ/	/ˈtɔ.lu/, /ˈtɔ.lɐ/	adjm , adjf		foolish	/ˈfuːlɪʃ/					tonto, tonta	/ˈtonto/, /ˈtonta/																																adjm , adjf
8875	bobo, boba		/ˈbɔ.bu/, /ˈbɔ.bɐ/	/ˈbɔ.bu/, /ˈbɔ.bɐ/	adjm , adjf		silly	/ˈsɪli/					tonto, tonta	/ˈtonto/, /ˈtonta/																																adjm , adjf
8876	inteligente		/ĩ.tɨɫiˈʒẽ.tɨ/	/ĩ.tɨɫiˈʒẽ.tʃi/	adj m/f		intelligent	/ɪnˈtɛlɪdʒənt/					inteligente	/inteˈli.xente/																																adj m/f
8877	ótimo, ótima		/ˈɔ.ti.mu/, /ˈɔ.ti.mɐ/	/ˈɔ.ti.mu/, /ˈɔ.ti.mɐ/	adjm , adjf		great	/ˈɛksələnt/					óptimo, óptima	/ˈɔptimu/, /ˈɔptima/																																adjm , adjf
8878	envergonhado, envergonhada		/ẽ.vɨɾ.ɡõ.ˈja.ðu/, /ẽ.vɨɾ.ɡõ.ˈja.ðɐ/	/ẽ.vɛɾ.ɡõ.ˈja.ðu/, /ẽ.vɛɾ.ɡõ.ˈja.ðɐ/	adjm , adjf		embarrassed	/ɪmˈbærɪst/					avergonzado, avergonzada	/aβerɡonˈθaðo/, /aβerɡonˈθaða/																																adjm , adjf
8879	despiedado, despiedada		/dɨʃ.pjɨ.ˈda.du/, /dɨʃ.pjɨ.ˈda.dɐ/	/dɛʃ.pi.ɛ.ˈda.du/, /dɛʃ.pi.ɛ.ˈda.dɐ/	adjm , adjf		ruthless	/ˈruːθlɪs/					despiadado, despiadada	/despjaˈðado/, /despjaˈðada/																																adjm , adjf
8880	moreno, morena		/moˈre.nu/, /moˈre.nɐ/	/moˈre.nu/, /moˈre.nɐ/	adjm , adjf		dark-skinned	/ˈdɑrk ˈskɪnd/					moreno, morena	/moˈre.no/, /moˈre.na/																																adjm , adjf
8881	elegante (cuerpo)		/ɨɫɨ'ɡɐt(ɨ)/	/ɨɫɨ'ɡɐt(ɨ)/	adj m/f		thin	/ˈɛlɪɡənt/					delgado, delgada																																	adj m/f
8882	arrumado, arrumada		/ɐ.ʁuˈma.du/, /ɐ.ʁuˈma.dɐ/	/ɐ.ʁuˈma.du/, /ɐ.ʁuˈma.dɐ/	adjm , adjf		tidy	/ˈtaɪdi/					arreglado, arreglada	/areˈɣlaðo/, /areˈɣlaða/																																adjm , adjf
8936	elegante 		/ɨɫɨ'ɡɐt(ɨ)/	/ɨɫɨ'ɡɐt(ɨ)/	adj m/f		elegant						elegante																																	
8883	engraçado, engraçada		/ẽ.ɡɾɐˈsa.du/, /ẽ.ɡɾɐˈsa.dɐ/	/ẽ.ɡɾɐˈsa.du/, /ẽ.ɡɾɐˈsa.dɐ/	adjm , adjf		funny	/ˈfʌni/					gracioso, graciosa	/ɡɾaˈθjoso/, /ɡɾaˈθjosa/																																adjm , adjf
8884	legal (informal)		/lɨˈɡaɫ/	/lɨˈɡaw̃/	adjm/f		cool	/blæk/					genial, guay																																	adjm/f
8885	barulhento, barulhenta		/bɐ.ɾu.ˈʎẽ.tu/, /bɐ.ɾu.ˈʎẽ.tɐ/	/ba.ɾu.ˈʎẽ.tu/, /ba.ɾu.ˈʎẽ.tɐ/	adjm, adjf		noisy						ruidoso, ruidosa																																	adjm, adjf
8886	possível		/ˈpɔ.sivɛɫ/	/ˈpɔ.si.vɛw̃/	adjm/f		possible						posible																																	adjm/f
8959	careca		/ka.ˈɾɛ.ka/	/ka.ˈɾɛ.ka/	adj m/f		bald						calvo, calva																																	
8962	loiro, loira		/ˈlɔj.ɾu/, /ˈlɔj.ɾɐ/	/ˈlɔj.ɾu/, /ˈlɔj.ɾɐ/	adjm, adjf		blonde						rubio, rubia																																	
8963	ruivo, ruiva		/ˈʁuj.vu/, /ˈʁuj.vɐ/	/ˈʁu.i.vu/, /ˈʁu.i.vɐ/	adjm, adjf		red-haired						pelirrojo, pelirroja																																	
8964	moreno, morena		/mo.ˈɾe.nu/, /mo.ˈɾe.nɐ/	/mo.ˈɾe.nu/, /mo.ˈɾe.nɐ/	adjm, adjf		dark-haired						moreno, morena																																	
8968	legal (lei)		/lɨ.ˈɡaɫ/	/lɪ.ˈɡaw/	adj		legal						legal																																	
8969	preto, preta		/ˈpɾetu/, /ˈpɾetɐ/	/ˈpɾetu/, /ˈpɾetɐ/	adjm, adjf		black  	/blæk/					negro, negra	/ˈneɡɾo/																																adj m, adj f.
8970	negro, negra		/ˈnɛɡɾu/, /ˈnɛɡɾɐ/	/ˈnɛɡɾu/, /ˈnɛɡɾɐ/	adjm, adjf		black  	/blæk/					negro, negra	/ˈneɡɾo/																																adj m, adj f.
8971	branco, branca		/ˈbɾɐ̃ku/, /ˈbɾɐ̃kɐ/	/ˈbɾɐ̃ku/, /ˈbɾɐ̃kɐ/	adjm, adjf		white	/waɪt/					blanco, blanca	/ˈblaŋko/																																adj m, adj f.
8972	amarelho, amarelha		/ɐmɐˈɾeʎu/, /ɐmɐˈɾeʎɐ/	/ɐmɐˈɾeʎu/, /ɐmɐˈɾeʎɐ/	adjm, adjf		yellow	/ˈjɛloʊ/					amarillo, amarilla	/amaˈɾiʎo/																																adj m, adj f.
8973	azul		/ɐˈzuw/	/ɐˈzuw/	adj		blue						azul																																	adj m/f
8974	verde		/ˈvɛɾdɨ/	/ˈvɛʁdʒi/	adj		green	grin					verde																																	adj m/f
8975	cinzento, cinzenta (PT)		sĩˈzetu, sĩˈzetɐ	sĩˈzetu, sĩˈzetɐ	adjm, adjf		gray	greɪ					gris																																	adj m, adj f.
8976	vermelho, vermelha		vɨɾˈmɛʎu, vɨɾˈmɛʎɐ	veʁˈmeʎu, veʁˈmeʎɐ	adjm, adjf		red	rɛd					rojo, roja																																	adj m, adj f.
8977	rosa		/ˈʁozɐ/	/ˈʁozɐ/	adjf		pink	pɪŋk					rosa																																	adj m/f
8978	castanho, castanha		kɐʃˈtɐɲu, kɐʃˈtɐɲɐ	kɐʃˈtɐɲu, kɐʃˈtɐɲɐ	adjm, adjf		brown	braʊn					castaño, castaña																																	adj m, adj f.
8979	marrom		mɐˈʁõ	maˈʁõ	adj		brown	braʊn					marrón																																	adj m/f
8980	laranja		lɐˈɾɐ̃ʒɐ	laˈɾɐ̃ʒɐ	adj		orange	ˈɔrənʤ					naranja																																	adj m/f
8981	roxo, roxa		ˈʁoʃu, ˈʁoʃɐ	ˈʁoʃu, ˈʁoʃɐ	adjm, adjf		purple	pɜrpəl					morado, morada																																	adj m, adj f.
9032	comunicativo, comunicativa		/ko.mu.ni.kaˈti.vu/, /ko.mu.ni.kaˈti.vɐ/	/ko.mu.ni.kaˈti.vu/, /ko.mu.ni.kaˈti.vɐ/	adj		communicative						comunicativo, comunicativa																																	
9033	consciente		/kõʃˈsjẽ.ʃtɨ/	/kõʃˈsjẽ.ʃtʃi/	adj		conscious, aware						consciente																																	
9036	convencido, convencida		/kõ.vẽ.ˈsi.du/, /kõ.vẽ.ˈsi.dɐ/	/kõ.vẽ.ˈsi.du/, /kõ.vẽ.ˈsi.dɐ/	adj		convinced						convencido, convencida																																	
9039	covarde		/ko.ˈvaɾ.ðɨ/	/ko.ˈvaɾ.ði/	adj		coward						cobarde																																	
9043	desnecessário, desnecessária		/dɨz.nɛˈsɛ.sa.ɾju/, /dɨz.nɛˈsɛ.sa.ɾjɐ/	/dɨz.nɛˈsɛ.sɐ.ɾju/, /dɨz.nɛˈsɛ.sɐ.ɾjɐ/	adj		unnecessary						innecesario, innecesaria																																	
9051	esperto, esperta		/ɨʃ.ˈpɛɾ.tu/, /ɨʃ.ˈpɛɾ.tɐ/	/is.ˈpeʁ.tu/, /is.ˈpeʁ.tɐ/	adj		smart						listo, lista																																	
9054	excêntrico, excêntrica		/ɨʃ.ˈsẽt.ɾi.ku/, /ɨʃ.ˈsẽt.ɾi.kɐ/	/is.ˈsẽt.ɾi.ku/, /is.ˈsẽt.ɾi.kɐ/	adj		eccentric						excéntrico, excéntrica																																	
9060	feito		/ˈfɐj.tu/	/ˈfej.tu/	adj		made						hecho																																	
9067	graúdo, graúda		/ɡɾɐ.'u.du/, /ɡɾɐ.'u.dɐ/	/ɡɾɐ.'u.du/, /ɡɾɐ.'u.dɐ/	adj	bem desenvolvido; crescido.<i>"batata g."</i><br><br>vultoso, considerável. <i>"negócio g."</i><br>diz-se de ou indivíduo de estatura elevada, grandalhão.<br><br>que ou aquele que tem prestígio, influência; poderoso.<br><br><i>"conseguiu regalias através de um funcionário g. da empresa"</i><br>	big						grande																																	
9075	incômodo, incômoda	o incômodo, a incômoda	/ĩ.ˈko.mu.ðu/, /ĩ.ˈko.mu.dɐ/	/ĩ.ˈko.mo.du/, /ĩ.ˈko.mo.dɐ/	adj		uncomfortable						incómodo, incómoda																																	
9076	independente		/ĩ.ˌde.pẽ.ˈdẽ.tɨ/	/ĩ.ˌde.pẽ.ˈdẽ.tʃi/	adj		independent						independiente																																	
9079	inimigo, inimiga		/i.ˈni.mi.ɡu/, /i.ˈni.mi.ɡɐ/	/i.ˈni.mi.ɡu/, /i.ˈni.mi.ɡɐ/	adj		enemy						enemigo, enemiga																																	
9080	inútil		/i.ˈnu.tu/	/i.ˈnu.tʃi/	adj		useless						inútil																																	
9093	miúdo, miúda		/mi.ˈu.du/, /mi.ˈu.dɐ/	/mi.ˈu.du/, /mi.ˈu.dɐ/	adj		small						pequeño, pequeña																																	
9115	perigoso, perigosa	o perigoso, a perigosa	/pɨ.ɾi.'ɡo.zu/, /pɨ.ɾi.'ɡo.zɐ/	/pe.ɾi.'ɡo.zu/, /pe.ɾi.'ɡo.zɐ/	adj		dangerous						peligroso, peligrosa																																	
9124	profissional	o profissional	/pɾu.fis.si.o.ˈnal/	/pɾu.fis.si.o.ˈnal/	adj		professional						profesional																																	
9144	só	so	/so/	/so/	adj		alone						solo																																	
9151	teimoso, teimosa	o teimoso, a teimosa	/tei.'mo.zu/, /tei.'mo.zɐ/	/tei.'mo.zu/, /tei.'mo.zɐ/	adj		stubborn						terco, terca																																	
