10053	deputada, deputado	a deputada, o deputado	/dɨ.pu.ˈta.dɐ/, /dɨ.pu.ˈta.du/	/dɨ.pu.ˈta.dɐ/, /dɨ.pu.ˈta.du/	sm/f								deputada, deputado	/dipuˈtaða/, /dipuˈtaðo/		sf, sm		
10054	cozinheiro, cozinheira	o cozinheiro, a cozinheira	/ku.zi.ˈɲej.ɾu/, /ku.zi.ˈɲej.ɾɐ/	/ko.zi.ˈɲej.ɾu/, /ko.zi.ˈɲej.ɾɐ/	sm/f								cocinero, cocinera	/koθiˈneɾo/, /koθiˈneɾa/		sm, sf		
10055	dentista	o/a dentista	/dẽ.ˈtiʃ.tɐ/	/dẽ.ˈtiʃ.tɐ/	sm/f								dentista	/denˈtista/		sm/f		
10056	designer	o/a designer	/dɛ.si.ˈɲɛɾ/, /dɛ.si.ˈɲɛɾɐ/	/de.si.ˈɲeʁ/, /de.si.ˈɲeʁɐ/	sm/f								diseñador, diseñadora	/diseˈɲaðoɾ/, /di.seˈɲa.ðo.ɾa/		sm, sf		
10057	realizador, realizadora	o realizador, a realizadora	/ʁe.a.li.za.ˈdoɾ/, /ʁe.a.li.za.ˈdoɾɐ/	/ʁe.a.li.za.ˈdoʁ/, /ʁe.a.li.za.ˈdoʁɐ/	sm/f								realizador, realizadora	/diɾekˈtoɾ/, /diɾekˈtoɾa/		sm, sf		
10058	médico, médica	o médico, a médica	/ˈmɛ.di.ku/, /ˈmɛ.di.kɐ/	/ˈmɛ.dʒi.ku/, /ˈmɛ.dʒi.kɐ/	sm/f								médico, médica	/ˈmeðiko/, /ˈmeðika/		sm, sf		En español, las palabras "médico" y "doctor" a menudo se utilizan de manera intercambiable para referirse a un profesional de la medicina. Sin embargo, hay algunas distinciones:   Médico es un término más amplio que se refiere a cualquier profesional que haya completado la formación médica y esté autorizada para ejercer la medicina, incluyendo a los médicos generales, especialistas y cirujanos.   Doctor se usa con mayor frecuencia para referirse a alguien que ha obtenido un título de doctor en medicina (MD) o un doctorado en otro campo, médico o no médico.  En muchos países, obtener un título de MD es el requisito para practicar la medicina como médico.   En algunos contextos, "doctor" puede usarse para mostrar un mayor nivel de respeto o formalidad hacia un médico. Por ejemplo, un paciente puede referirse a su médico como "doctor" como muestra de cortesía.
10059	doutor	o doutor	/dow.ˈtoɾ/	/dow.ˈtoɾ/	sm								doctor	/ˈdoktoɾ/, /ˈdoktoɾa/		sm, sf		
10060	motorista	o/a motorista	/mu.to.ˈɾiʃ.tɐ/	/mu.to.ˈɾiʃ.tɐ/	sm/f								conductor, conductora	/kondukˈtoɾ/, /kondukˈtoɾa/		sm, sf		
10061	funcionario	o funcionario	/fũ.si.si.ˈna.ɾju/, /fũ.si.si.ˈna.ɾjɐ/	/fũ.si.si.ˈna.ɾju/, /fũ.si.si.ˈna.ɾjɐ/	sm/f								funcionario, funcionaria	/em'pleaðo/, /em'pleaða/		sm, sf		
10062	funcionário	o funcionário, a funcionária	/fũ.si.si.ˈna.ɾju/, /fũ.si.si.ˈna.ɾjɐ/	/fũ.si.si.ˈna.ɾju/, /fũ.si.si.ˈna.ɾjɐ/	sm/f								funcionario, funcionaria	/emˈpleaðo/, /emˈpleaða/		sm, sf		
10063	engenheiro	o engenheiro, a engenheira	/ẽ.ʒɐ.ˈɲej.ɾu/, /ẽ.ʒɐ̃.ˈʁej.ɾɐ/	/ẽ.ʒɐ̃.ˈʁej.ɾu/, /ẽ.ʒɐ̃.ˈʁej.ɾɐ/	sm/f								ingeniero, ingeniera	/iŋxeˈnjero/, /in.xeˈnjeɾa/		sm, sf		
10064	agricultor, agricultora	o agricultor, a agricultora	/a.gri.kul.ˈtoɾ/, /a.gri.kul.ˈtoɾɐ/	/a.gri.kul.ˈtoɾ/, /a.gri.kul.ˈtoɾɐ/	sm/f								agricultor, agricultora	/agri.kulˈtoɾ/, /agri.kulˈtoɾa/		sm, sf		
10065	manequim da alta costura	o/a manequim da alta costura	/mɐ.nɨ.ˈkĩ dɐ ˈaɫ.tɐ kuʃ.ˈtu.ɾɐ/	/ma.ne.ˈkĩ dɐ ˈaɫ.tɐ kuʃ.ˈtu.ɾɐ/	sm/f								modelo de alta costura	/mo'ðelo ðe 'moða/		sm/f		
10066	aeromoça	a aeromoça	/ɐ.jɨ.ɾu.ˈmo.sɐ/	/ɐ.e.ɾu.ˈmo.sɐ/	sf								azafata	/aθaˈfata/, /aθaˈfato/		sf, sm		
10067	florista	o/a florista	/flo.ˈɾiʃ.tɐ/	/flo.ˈɾis.tɐ/	sf								florista	/floˈɾista/		sm/f		
10068	jardineiro, jardineira	o jardineiro, a jardineira	/ʒɐɾ.di.ˈnej.ɾu/, /ʒɐɾ.di.ˈnej.ɾɐ/	/ʒaɾ.di.ˈnej.ɾu/, /ʒaɾ.di.ˈnej.ɾɐ/	sm/f								jardinero, jardinera	/xaɾði'neɾo/, /xaɾði'neɾa/		sm, sf		
10069	cabeleireira	a cabeleireira	/ka.bɨ.lɐj.ˈɾej.ɾɐ/	/ka.be.lej.ˈɾej.ɾɐ/	sf								peluquera	/peluˈkeɾo/, /peluˈkeɾa/		sm, sf		
10070	agente (de seguros)	o/a agente de seguros	/ɐ.ˈʒẽ.tɨ (dɨ) sɨ.ˈɡu.ɾuʃ/	/ɐ.ˈʒẽ.tʃi (dʒi) se.ˈɡu.ɾus/	sm/f								agente de seguros	/a'xente ðe 'seɣuɾos/		sm/f		
10071	juiz, juíza	o juiz, a juíza	/ʒu.ˈiʃ/, /ˈʒu.i.zɐ/	/ʒu.ˈiz/, /ʒu.ˈizɐ/	sm/f								juez, jueza	/xweθ/, /ˈxweθa/		sm/f, sf		
10072	jurista	o/a jurista	/ʒu.ɾiʃ.ˈtɐ/	/ʒu.ˈɾiʃ.tɐ/	sm/f								jurista	/xuˈɾista/		sm/f		
10073	advogado	o advogado	/ɐd.vu.ˈɡa.du/	/ɐd.vo.ˈɡa.du/	sm								abogado	/a.boˈɣa.ðo/, /a.boˈɣa.ða/		sm, sf		
10074	comerciante	o comerciante	/ko.mɛɾ.si.ˈɐ̃.tɨ/	/ko.mɛɾ.si.ˈɐ̃.tʃi/	sm								comerciante	/komersi'ante/		sm/f		
10075	enfermeiro	o enfermeiro	/ẽ.ˈfɛɾ.mɐj.ɾu/	/ẽ.ˈfeɾ.mej.ɾu/	sm/f								enfermero, enfermera	/enfeɾˈmeɾo/, /enfeɾˈmeɾa/		sm, sf		
10076	farmacêutico, farmacêutica	o farmacêutico, a farmacêutica	/fɐɾ.mɐ.kɛw.ˈti.ku/, /fɐɾ.mɐ.kɛw.ˈti.kɐ/	/fɐɾ.mɐ.kɛw.ˈti.ku/, /fɐɾ.mɐ.kɛw.ˈti.kɐ/	sm/f								farmacéutico, farmacéutica	/farmaθe'utiko/, /farmaθe'utika/		sm, sf		
10077	pianista	o/a pianista	/pi.ɐ.ˈniʃ.tɐ/	/pi.ɐ.ˈniʃ.tɐ/	sm/f								pianista	/pjaˈnista/		sm/f		
10078	piloto	o/a piloto	/pi.ˈlo.tu/	/pi.ˈlo.tu/	sm/f								piloto	/piˈloto/, /piˈlota/		sm/f, sf		
10079	policial	o/a policial	/pu.li.ˈsi.ɐɫ/, /pu.li.ˈsi.ɐɫ/	/po.li.ˈsi.ɐ	sm/f								policía	/poˈliθia/		sm/f		
10080	profissão	a profissão	/pɾu.fis.ˈsɐ̃w̃/	/pɾu.fi.ˈsɐ̃w̃/	sf								profesión	/pɾofeˈsjon/		sf		
10081	psicanalista	o/a psicanalista	/psi.kɐ.na.ˈliʃ.tɐ/	/psi.kɐ.na.ˈliʃ.tɐ/	sm/f								psicoanalista	/psikoanaˈlista/		sm/f		
10082	réporter	o/a réporter	/ʁe.ˈpoɾ.tɐɾ/	/ˈʁe.poʁ.teʁ/	sm/f								reportero	/repoɾ'teɾo/, /repoɾ'teɾa/		sm, sf		
10083	secretária, secretário	a secretária, o secretário	/sɨ.kɾɨ.ˈta.ɾjɐ/, /sɨ.kɾɨ.ˈta.ɾju/	/sɨ.kɾɨ.ˈta.ɾjɐ/, /sɨ.kɾɨ.ˈta.ɾju/	sf, sm								secretaria, secretario	/se.kɾe'ta.ɾja/, /se.kɾe'ta.ɾjo/		sf, sm		
10084	soldado	o soldado	/suɫ.ˈða.ðu/	/soɫ.ˈda.du/	sm								soldado	/solˈdaðo/, /solˈdaða/		sm, sf		
10085	hospedeira	a hospedeira	/uʃ.pɨ.ðɐj.ˈɾɐ/	/uʃ.pe.ˈðej.ɾɐ/	sf								anfitriona	/aθaˈfata/, /aθaˈfato/		sf, sm		
10086	taxista	o/a taxista	/tɐ.ˈʃiʃ.tɐ/	/tɐ.ˈʃiʃ.tɐ/	sm/f								taxista	/taxista/		sm/f		
10087	professora	a professora	/pɾu.fɨ.sɔ.ˈɾɐ/	/pɾu.fi.sɔ.ˈɾɐ/	sf								profesora	/maˈestɾo/, /maˈestɾa/		sm, sf		
10088	tradutor, tradutora	o tradutor, a tradutora	/tɾɐ.du.ˈtoɾ/, /tɾɐ.du.ˈtoɾɐ/	/tɾɐ.du.ˈtoʁ/, /tɾɐ.du.ˈtoʁɐ/	sm/f								traductor, traductora	/tɾaðukˈtoɾ/		sm		
10089	empregado de mesa, garçom	o empregado de mesa, o garçom	/ẽ.pɾɨ.ˈɡa.du dɨ ˈmɛ.zɐ/, /ɡaɾ.ˈsõ/	/ẽ.pɾɨ.ˈɡa.du dʒi ˈmezɐ/, /ɡaʁ.ˈsõ/	sm								servidor, camarero	/kamaˈɾeɾo/		sm		
10090	garçom	o garçom	/ɡaɾ.ˈsõ/	/ɡaʁ.ˈsõ/	sm								camarero	/kamaˈɾeɾo/		sm		
10091	empregado de mesa	o/a empregado de mesa, a/o empregada de mesa	/ẽ.pɾɨ.ˈɡa.du dɨ ˈmɛ.zɐ/, /ɡaɾ.ˈsõ/	/ẽ.pɾɨ.ˈɡa.du dʒi ˈmezɐ/, /ɡaʁ.ˈsõ/	sm/sf								servidor, camarera	/kamaˈɾeɾo/, /kamaˈɾeɾa/		sm, sf		
10092	empregada de mesa, garçonete	a empregada de mesa	/ẽ.pɾɨ.ˈɡa.dɐ dɨ ˈmɛ.zɐ/, /ɡaɾ.sɔ.ˈnɛ.tɨ/	/ẽ.pɾɨ.ˈɡa.dɐ dʒi ˈmezɐ/, /ɡaʁ.sɔ.ˈnɛ.tɨ/	sf/sfp								camarera	/kamaˈɾeɾa/		sf		
10093	garçonete	a garçonete	/ɡaɾ.sɔ.ˈnɛ.tɨ/	/ɡaʁ.sɔ.ˈnɛ.tɨ/	sf								camarera	/kamaˈɾeɾa/		sf		
10094	operário, operária	o operário, a operária	/u.pɨ.ˈɾa.ɾju/, /u.pɨ.ˈɾa.ɾjɐ/	/u.pe.ˈɾa.ɾju/, /u.pe.ˈɾa.ɾjɐ/	sm/f								obrero, obrera			sm, sf		
10095	escritor, escritora	o escritor, a escritora	/ɨʃ.kɾi.ˈtoɾ/, /ɨʃ.kɾi.ˈtoɾɐ/	/is.kɾi.ˈtoʁ/, /is.kɾi.ˈtoʁɐ/	sm/f								escritor, escritora	/es.kɾiˈtoɾ/, /es.kɾiˈtoɾa/		sm, sf		
10096	instrutora de ioga	a instrutora de ioga	/ĩʃ.tɾu.ˈtoɾɐ dɨ i.ˈɔ.ɡɐ/	/ĩʃ.tɾu.ˈtoɾɐ dʒi i.ˈɔ.ɡɐ/	sf								instructora de yoga	/instɾukˈtoɾ ðe ˈʝoɣa/, /instɾukˈtoɾa ðe ˈʝoɣa/		sm, sf		
10097	advogada	a advogada	/ɐd.vo.ˈɡa.dɐ/	/ɐd.vo.ˈɡa.dɐ/	sf								abogada					
10098	aeromoço	o aeromoço	/ɐ.jɨ.ɾu.ˈmo.su/	/ɐ.e.ɾu.ˈmo.su/	sm								azafato					
10099	arquiteta	a arquiteta	/aɾ.ki.ˈtɛ.tɐ/	/aɾ.ki.ˈte.tɐ/	sf								arquitecta					
10100	barbeiro	o barbeiro	/baɾ.ˈbɐj.ɾu/	/baʁ.ˈbej.ɾu/	sm								barbero					
10101	cabeleireiro	o cabeleireiro	/ka.bɨ.lɐj.ˈɾɐj.ɾu/	/ka.be.lej.ˈɾej.ɾu/	sm								peluquero					
10102	doutora	a doutora	/dow.ˈto.ɾɐ/	/do.ˈto.ɾɐ/	sf								doctora					
10103	empregada de mesa	a empregada de mesa	/ẽ.pɾɨ.ˈɡa.dɐ dɨ.ˈmezɐ/	/ẽp.ɾe.ˈɡa.dɐ dɨ.ˈme.za/	sf								camarera					
10104	empresária	a empresária	/ẽ.pɾɨ.ˈza.ɾjɐ/	/ẽ.pɾi.ˈza.ɾjɐ/	sf								empresaria					
10105	enfermeira	a enfermeira	/ẽ.feɾ.ˈmej.ɾɐ/	/ẽ.feɾ.ˈmej.ɾɐ/	sf								enfermera					
10106	engenheira	a engenheira	/ẽ.ʒẽ.ˈɲej.ɾɐ/	/ẽ.ʒẽ.ˈɲej.ɾɐ/	sf								ingeniera					
10107	engenheira informática	a engenheira informática	/ẽ.ʒẽ.ˈɲej.ɾɐ ĩ.fɔɾ.ˈma.ti.kɐ/	/ẽ.ʒẽ.ˈɲej.ɾɐ ĩ.fɔɾ.ˈma.ti.kɐ/	sf								ingeniera informática					
10108	funcionária	a funcionária	/fũ.si.o.ˈna.ɾjɐ/	/fũ.si.u.ˈna.ɾjɐ/	sf								funcionaria					
10109	funcionária pública	a funcionária pública	/fũ.si.o.ˈna.ɾjɐ ˈpub.li.kɐ/	/fũ.si.u.ˈna.ɾjɐ ˈpub.li.kɐ/	sf								funcionaria pública					
10110	hospedeiro	o hospedeiro	/uʃ.pɨ.ðɐj.ˈɾej.ɾu/	/uʃ.pe.ˈðej.ɾu/	sm								anfitrión					
10111	instrutor de ioga	o instrutor de ioga	/ĩʃ.tɾu.ˈtoɾ dɨ i.ˈɔ.ɡɐ/	/ĩʃ.tɾu.ˈtoɾ dʒi i.ˈɔ.ɡɐ/	sm								instructor de yoga					
10112	professora	a professora	/pɾu.fɨ.sɔ.ˈɾɐ/	/pɾu.fi.sɔ.ˈɾɐ/	sf								profesora					
10113	bombeiro, bombeira	o bombeiro, a bombeira	/bõ.ˈbɐj.ɾu/, /bõ.ˈbɐj.ɾɐ/	/bõ.ˈbej.ɾu/, /bõ.ˈbej.ɾɐ/	sm/f								bombero, bombera					
